playerID,yearID,stint,teamID,lgID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,nameGiven,masterID
wilsoja02,2012,1,ATL,NL,40,71,4,12,1,1,0,4,0,0,2,12,1,0,3,1,1,Jack Eugene,wilsoja02-2012-ATL
wisede01,2012,1,NYA,AL,56,61,11,16,3,1,3,8,7,0,2,12,0,0,0,0,1,Larry Dewayne,wisede01-2012-NYA
wisede01,2012,2,CHA,AL,45,163,20,42,7,1,5,22,12,4,9,40,0,1,0,3,1,Larry Dewayne,wisede01-2012-CHA
woodtr01,2012,1,CHN,NL,28,53,5,10,3,0,1,4,0,0,0,20,0,0,2,0,1,Travis A.,woodtr01-2012-CHN
worthda01,2012,1,DET,AL,43,74,9,16,3,0,0,3,0,0,13,23,0,0,2,1,1,Daniel Weston,worthda01-2012-DET
wrighda03,2012,1,NYN,NL,156,581,91,178,41,2,21,93,15,10,81,112,16,3,0,5,15,David Allen,wrighda03-2012-NYN
youklke01,2012,1,BOS,AL,42,146,25,34,7,1,4,14,0,0,14,39,0,4,0,1,4,Kevin Edmund,youklke01-2012-BOS
youklke01,2012,2,CHA,AL,80,292,47,69,8,1,15,46,0,0,37,69,2,13,0,2,6,Kevin Edmund,youklke01-2012-CHA
youngch04,2012,1,ARI,NL,101,325,36,75,24,0,14,41,8,3,36,79,0,2,0,0,4,Christopher Brandon,youngch04-2012-ARI
youngde03,2012,1,DET,AL,151,574,54,153,27,1,18,74,0,2,20,112,1,7,0,7,20,Delmon Damarcus,youngde03-2012-DET
younger03,2012,1,COL,NL,98,174,36,55,7,2,4,15,14,2,13,31,0,4,5,0,1,Eric Orlando,younger03-2012-COL
youngmi02,2012,1,TEX,AL,156,611,79,169,27,3,8,67,2,2,33,70,3,1,0,6,26,Michael Brian,youngmi02-2012-TEX
zimmejo02,2012,1,WAS,NL,32,57,5,11,2,0,1,4,0,0,4,13,0,0,5,0,1,Jordan M.,zimmejo02-2012-WAS
zimmery01,2012,1,WAS,NL,145,578,93,163,36,1,25,95,5,2,57,116,8,2,0,4,20,Ryan Wallace,zimmery01-2012-WAS
zitoba01,2012,1,SFN,NL,32,53,3,4,0,0,0,2,0,0,6,12,0,0,10,0,1,Barry William,zitoba01-2012-SFN
zobribe01,2012,1,TBA,AL,157,560,88,151,39,7,20,74,14,9,97,103,7,3,2,6,13,Benjamin Thomas,zobribe01-2012-TBA
abreuto01,2013,1,SFN,NL,53,138,21,37,12,3,2,14,0,2,6,33,1,1,1,1,5,Etanislao Toni,abreuto01-2013-SFN
ackledu01,2013,1,SEA,AL,113,384,40,97,18,2,4,31,2,3,37,72,1,1,4,1,6,Dustin Michael,ackledu01-2013-SEA
adamsda02,2013,1,NYA,AL,43,140,10,27,5,1,2,13,0,0,9,43,0,2,1,0,4,David Lee,adamsda02-2013-NYA
adamsma01,2013,1,SLN,NL,108,296,46,84,14,0,17,51,0,1,23,80,0,0,0,0,9,Matthew James,adamsma01-2013-SLN
almonab01,2013,1,SEA,AL,25,72,10,19,4,0,2,9,1,0,6,21,0,0,2,2,2,Abraham,almonab01-2013-SEA
almonzo01,2013,1,NYA,AL,34,106,9,25,4,0,1,9,3,1,6,19,0,0,0,1,2,Zoilo Manuel,almonzo01-2013-NYA
alonsyo01,2013,1,SDN,NL,97,334,34,94,11,0,6,45,6,0,32,47,5,2,0,7,9,Yonder,alonsyo01-2013-SDN
altuvjo01,2013,1,HOU,AL,152,626,64,177,31,2,5,52,35,13,32,85,5,2,4,8,24,Jose Carlos,altuvjo01-2013-HOU
alvarpe01,2013,1,PIT,NL,152,558,70,130,22,2,36,100,2,0,48,186,7,4,0,4,16,Pedro Manuel,alvarpe01-2013-PIT
amarial01,2013,1,SDN,NL,146,368,35,87,14,4,5,32,4,2,22,57,1,2,3,1,7,Alexi Jose,amarial01-2013-SDN
andinro01,2013,1,SEA,AL,29,76,5,14,4,0,0,4,0,0,7,27,0,0,2,0,3,Robert Lazaro,andinro01-2013-SEA
andruel01,2013,1,TEX,AL,156,620,91,168,17,4,4,67,42,8,52,97,1,4,16,6,19,Elvis Augusto,andruel01-2013-TEX
ankieri01,2013,1,HOU,AL,25,62,6,12,3,0,5,11,0,0,3,35,0,0,0,0,0,Richard Alexander,ankieri01-2013-HOU
ankieri01,2013,2,NYN,NL,20,66,7,12,4,1,2,7,0,1,5,25,0,0,0,0,1,Richard Alexander,ankieri01-2013-NYN
aokino01,2013,1,MIL,NL,155,597,80,171,20,3,8,37,20,12,55,40,1,11,8,3,9,Norichika,aokino01-2013-MIL
arciaos01,2013,1,MIN,AL,97,351,34,88,17,2,14,43,1,2,23,117,0,4,0,0,4,Oswaldo Celestino,arciaos01-2013-MIN
arenano01,2013,1,COL,NL,133,486,49,130,29,4,10,52,2,0,23,72,1,1,2,2,16,Nolan James,arenano01-2013-COL
arencjp01,2013,1,TOR,AL,138,474,45,92,18,0,21,55,0,2,18,148,0,3,0,2,8,Jonathan Paul,arencjp01-2013-TOR
ariasjo01,2013,1,SFN,NL,102,225,17,61,9,2,1,19,1,0,4,33,1,1,4,2,4,Joaquin,ariasjo01-2013-SFN
arroybr01,2013,1,CIN,NL,32,59,0,4,0,0,0,0,0,0,0,26,0,0,16,0,1,Bronson Anthony,arroybr01-2013-CIN
ascheco01,2013,1,PHI,NL,50,162,18,38,8,1,5,22,1,0,15,43,3,1,0,1,1,Cody James,ascheco01-2013-PHI
avilaal01,2013,1,DET,AL,102,330,39,75,14,1,11,47,0,0,44,112,0,1,1,3,10,Alexander Thomas,avilaal01-2013-DET
avilemi01,2013,1,CLE,AL,124,361,54,91,15,0,9,46,8,5,15,41,0,3,7,8,11,Michael Anthony,avilemi01-2013-CLE
aybarer01,2013,1,LAA,AL,138,550,68,149,33,5,6,54,12,7,23,59,1,3,8,5,14,Erick Johan,aybarer01-2013-LAA
baileho02,2013,1,CIN,NL,32,58,3,9,1,0,0,1,0,0,3,18,0,1,11,0,2,David Dewitt,baileho02-2013-CIN
bakerje03,2013,1,TEX,AL,74,154,21,43,8,0,11,21,1,0,18,48,1,2,0,1,5,Jeffrey Glen,bakerje03-2013-TEX
barmecl01,2013,1,PIT,NL,108,304,22,64,15,0,5,23,0,0,14,70,3,2,9,1,5,Clint Harold,barmecl01-2013-PIT
barnebr02,2013,1,HOU,AL,136,408,46,98,17,1,8,41,11,11,21,127,0,8,6,2,5,Brandon Michael,barnebr02-2013-HOU
barneda01,2013,1,CHN,NL,141,501,49,104,25,1,7,41,4,2,36,64,5,6,4,6,22,Darwin James Kunane,barneda01-2013-CHN
bartoda02,2013,1,OAK,AL,37,104,15,28,2,0,3,16,0,0,13,18,0,1,0,2,1,Daric William,bartoda02-2013-OAK
bautijo02,2013,1,TOR,AL,118,452,82,117,24,0,28,73,7,2,69,84,2,3,0,4,13,Jose Antonio,bautijo02-2013-TOR
baxtemi01,2013,1,NYN,NL,74,132,14,25,6,1,0,4,5,2,17,28,0,5,0,1,1,Michael Joseph,baxtemi01-2013-NYN
bayja01,2013,1,SEA,AL,68,206,30,42,6,0,11,20,3,1,26,62,1,2,1,1,6,Jason Raymond,bayja01-2013-SEA
beckhgo01,2013,1,CHA,AL,103,371,46,99,22,1,5,24,5,1,28,56,2,4,1,4,10,James Gordon,beckhgo01-2013-CHA
beltbr01,2013,1,SFN,NL,150,509,76,147,39,4,17,67,5,2,52,125,4,6,1,3,4,Brandon Kyle,beltbr01-2013-SFN
